                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75175,                 1.2836,                0.67387,                 1.0537,                0.71977,                0.57284,                0.60476,                0.44389,                0.71617,                 0.5697,                0.59906,                0.42033,                 1.0738,                 2.1531,                 1.3763,                 1.2707,             0.00030185,             0.00030185,             0.00030185
                      2,                0.77547,                 1.3441,                0.68589,                 1.0596,                0.75898,                0.54606,                0.60041,                0.43838,                0.72378,                0.54284,                0.58537,                0.41162,                 1.0625,                 2.2304,                 1.3873,                 1.2549,             0.00059288,             0.00059288,             0.00059288
                      3,                0.79955,                 1.3772,                0.72728,                 1.0708,                0.68533,                0.58455,                0.60248,                0.43043,                0.68639,                0.55681,                0.58023,                0.39579,                  1.093,                 2.3442,                 1.3665,                  1.274,              0.0008719,              0.0008719,              0.0008719
                      4,                0.81156,                 1.4114,                0.74787,                 1.0811,                0.76936,                0.51827,                0.57008,                0.40792,                0.76648,                  0.513,                0.56176,                0.38359,                 1.1854,                 2.3618,                 1.4888,                 1.3496,             0.00085501,             0.00085501,             0.00085501
                      5,                0.82554,                 1.4158,                0.75222,                 1.0865,                0.77863,                0.52599,                0.59348,                0.41897,                0.76505,                0.52316,                0.58254,                 0.4056,                 1.1693,                  2.328,                 1.4862,                 1.3309,             0.00085501,             0.00085501,             0.00085501
                      6,                0.82086,                 1.4274,                0.76362,                 1.0901,                0.71618,                0.56997,                0.59422,                 0.4278,                0.71458,                0.56506,                0.58237,                0.40024,                 1.0996,                 2.1993,                 1.3881,                 1.2611,             0.00083701,             0.00083701,             0.00083701
                      7,                0.81868,                  1.409,                0.74923,                 1.0815,                0.72313,                0.55104,                0.59407,                0.43448,                0.71594,                0.54349,                 0.5811,                0.41057,                 1.1143,                 2.4097,                 1.4695,                 1.2901,             0.00081901,             0.00081901,             0.00081901
                      8,                0.82195,                 1.4099,                 0.7528,                 1.0838,                0.73297,                0.56644,                0.60971,                0.43844,                0.72506,                0.55796,                0.59416,                0.41573,                  1.125,                 2.3964,                 1.3619,                 1.2951,             0.00080101,             0.00080101,             0.00080101
                      9,                0.80427,                 1.3962,                0.73479,                 1.0749,                0.72614,                0.58603,                0.61067,                0.43986,                0.71988,                 0.5765,                0.59543,                0.40934,                 1.1143,                 2.2697,                 1.3913,                 1.2683,             0.00078301,             0.00078301,             0.00078301
                     10,                0.81828,                 1.4223,                 0.7417,                 1.0817,                0.72891,                0.55486,                0.58385,                0.41625,                0.72636,                0.55043,                0.57308,                0.38863,                  1.117,                 2.3092,                 1.4064,                 1.2745,             0.00076501,             0.00076501,             0.00076501
                     11,                0.81045,                 1.4039,                 0.7335,                  1.081,                 0.7318,                0.56606,                0.60668,                0.44174,                0.72984,                0.56293,                0.59611,                0.41919,                 1.0761,                 2.2533,                 1.3592,                 1.2462,             0.00074702,             0.00074702,             0.00074702
                     12,                0.81063,                 1.4053,                0.73604,                 1.0757,                0.75104,                0.56131,                0.61131,                0.44654,                0.74708,                0.55816,                0.60324,                0.41938,                 1.0862,                 2.2626,                 1.3579,                 1.2482,             0.00072902,             0.00072902,             0.00072902
                     13,                0.79496,                  1.368,                0.72065,                 1.0744,                0.68987,                 0.5867,                0.59777,                0.43247,                0.67905,                0.57577,                0.58263,                 0.4123,                 1.1005,                 2.1831,                 1.3861,                 1.2611,             0.00071102,             0.00071102,             0.00071102
                     14,                0.80372,                 1.3893,                0.72159,                  1.072,                0.75685,                 0.5481,                0.59069,                 0.4325,                0.76491,                0.53403,                0.58288,                0.41395,                 1.0953,                 2.2414,                 1.3917,                 1.2607,             0.00069302,             0.00069302,             0.00069302
                     15,                  0.813,                 1.4099,                0.73073,                  1.077,                0.75889,                0.55338,                0.60598,                 0.4383,                0.75456,                0.54862,                0.59573,                0.41806,                 1.1146,                 2.3829,                 1.4342,                 1.2796,             0.00067502,             0.00067502,             0.00067502
                     16,                0.79879,                   1.38,                0.72138,                 1.0773,                0.73793,                0.56097,                0.60245,                0.43314,                0.73594,                0.55783,                0.59247,                0.40973,                 1.1132,                 2.2919,                 1.3847,                 1.2782,             0.00065703,             0.00065703,             0.00065703
                     17,                0.79612,                 1.3723,                0.72024,                 1.0709,                0.70056,                0.57039,                0.58932,                0.42983,                0.69712,                0.56838,                0.58621,                0.41059,                 1.1054,                  2.249,                 1.3575,                 1.2638,             0.00063903,             0.00063903,             0.00063903
                     18,                0.79293,                 1.3662,                0.71194,                 1.0694,                0.70002,                0.57402,                0.60507,                0.43674,                0.70591,                0.56585,                0.60078,                0.41567,                  1.095,                 2.2349,                 1.3757,                 1.2588,             0.00062103,             0.00062103,             0.00062103
                     19,                0.78636,                 1.3464,                0.70283,                 1.0666,                 0.7409,                0.53209,                0.58567,                0.43056,                0.74002,                0.53038,                 0.5783,                0.40495,                 1.0753,                 2.3823,                 1.3846,                 1.2431,             0.00060303,             0.00060303,             0.00060303
                     20,                0.78749,                 1.3504,                0.70584,                 1.0645,                0.73344,                 0.5736,                0.61153,                0.44455,                0.72712,                0.55307,                 0.5952,                0.42469,                 1.0758,                 2.1918,                  1.348,                 1.2394,             0.00058503,             0.00058503,             0.00058503
                     21,                0.78124,                 1.3484,                0.69745,                 1.0654,                0.70832,                0.57205,                0.59177,                0.43367,                0.70486,                 0.5714,                0.58019,                0.40501,                 1.0795,                 2.3283,                 1.3708,                 1.2417,             0.00056703,             0.00056703,             0.00056703
                     22,                0.78173,                 1.3351,                 0.6903,                   1.06,                0.73812,                0.55177,                0.59777,                0.43463,                0.73604,                0.54856,                0.58987,                0.41645,                 1.0912,                 2.1953,                 1.4259,                 1.2596,             0.00054904,             0.00054904,             0.00054904
                     23,                0.78246,                 1.3384,                0.69067,                 1.0647,                0.70987,                0.56995,                0.60106,                0.44297,                  0.712,                0.57103,                0.59995,                0.42414,                 1.0604,                 2.1463,                 1.3469,                 1.2369,             0.00053104,             0.00053104,             0.00053104
                     24,                 0.7648,                 1.3074,                0.68116,                 1.0552,                0.74149,                0.55869,                0.60522,                0.44675,                0.73649,                0.55443,                0.59635,                0.42512,                 1.0728,                  2.264,                 1.3645,                 1.2603,             0.00051304,             0.00051304,             0.00051304
                     25,                0.77601,                 1.3317,                0.68675,                 1.0594,                0.75691,                0.54449,                0.61035,                0.45272,                0.74964,                  0.539,                 0.6013,                0.42675,                 1.0562,                 2.1856,                 1.3513,                 1.2301,             0.00049504,             0.00049504,             0.00049504
                     26,                0.76671,                 1.3065,                0.67865,                 1.0555,                0.70503,                0.58753,                 0.6137,                0.45423,                0.70686,                 0.5871,                0.60257,                0.42973,                 1.0717,                 2.1951,                 1.3275,                 1.2396,             0.00047704,             0.00047704,             0.00047704
                     27,                0.76724,                   1.32,                0.67731,                 1.0514,                0.75346,                0.55751,                0.60667,                0.44762,                0.74541,                0.55378,                0.59954,                 0.4241,                 1.0863,                 2.3032,                 1.3712,                 1.2586,             0.00045904,             0.00045904,             0.00045904
                     28,                0.76697,                 1.3111,                0.67338,                 1.0547,                0.72622,                0.56955,                0.60435,                0.44704,                0.73752,                0.55421,                0.59579,                0.42377,                 1.0612,                 2.2722,                 1.3333,                 1.2423,             0.00044105,             0.00044105,             0.00044105
                     29,                0.75465,                 1.2979,                0.65811,                 1.0487,                0.74549,                0.56677,                0.61022,                0.44926,                0.74647,                0.56353,                0.60607,                0.42439,                 1.0585,                 2.1809,                 1.3136,                  1.241,             0.00042305,             0.00042305,             0.00042305
                     30,                0.75801,                 1.2987,                0.66145,                 1.0528,                0.71694,                0.59396,                0.61189,                0.45424,                 0.7021,                0.58583,                0.60552,                0.42614,                 1.0528,                 2.2205,                 1.3106,                 1.2364,             0.00040505,             0.00040505,             0.00040505
                     31,                0.76154,                 1.3009,                0.65928,                 1.0507,                 0.7408,                 0.5804,                0.61354,                0.45446,                0.72635,                0.57187,                0.59699,                0.42052,                 1.0755,                 2.3157,                 1.3529,                 1.2629,             0.00038705,             0.00038705,             0.00038705
                     32,                0.75601,                 1.2734,                0.65272,                 1.0519,                0.74521,                0.56834,                0.61286,                0.45596,                0.74713,                 0.5592,                0.60347,                0.42837,                 1.0443,                 2.2951,                  1.311,                 1.2347,             0.00036905,             0.00036905,             0.00036905
                     33,                0.75718,                 1.2906,                0.65902,                 1.0496,                 0.7591,                0.56906,                0.61845,                0.45742,                0.76265,                0.56393,                 0.6098,                0.42735,                  1.053,                  2.331,                 1.3353,                   1.23,             0.00035106,             0.00035106,             0.00035106
                     34,                0.74438,                 1.2778,                0.64002,                 1.0404,                0.74722,                0.57818,                0.62184,                0.45799,                0.74285,                0.56841,                0.61099,                0.43281,                 1.0591,                 2.2384,                  1.302,                 1.2346,             0.00033306,             0.00033306,             0.00033306
                     35,                0.74283,                 1.2689,                0.64392,                 1.0393,                0.75781,                0.54729,                0.60769,                0.44901,                0.73432,                0.55642,                0.59704,                0.42015,                 1.0739,                 2.3032,                 1.3505,                 1.2615,             0.00031506,             0.00031506,             0.00031506
                     36,                0.74643,                 1.2682,                0.64084,                 1.0457,                 0.7623,                0.56799,                0.60946,                0.45273,                 0.7441,                0.56591,                0.59764,                0.42037,                  1.059,                 2.3044,                 1.3317,                 1.2451,             0.00029706,             0.00029706,             0.00029706
                     37,                0.74009,                 1.2695,                0.64402,                 1.0409,                 0.7331,                0.58231,                0.61834,                0.45886,                0.75926,                0.55727,                0.61273,                0.43493,                 1.0398,                 2.1593,                 1.3549,                 1.2241,             0.00027906,             0.00027906,             0.00027906
                     38,                 0.7423,                 1.2615,                0.64224,                 1.0434,                0.74624,                0.56938,                0.61818,                0.46202,                0.73916,                0.56446,                0.60686,                0.43237,                 1.0444,                 2.2309,                 1.3279,                 1.2345,             0.00026106,             0.00026106,             0.00026106
                     39,                 0.7318,                 1.2418,                 0.6256,                 1.0364,                0.77181,                0.55666,                0.60654,                0.45418,                0.77305,                0.55487,                0.60489,                0.43156,                  1.056,                  2.276,                 1.3764,                 1.2423,             0.00024307,             0.00024307,             0.00024307
                     40,                0.73171,                 1.2366,                0.62734,                 1.0358,                0.77044,                 0.5626,                 0.6127,                0.45771,                0.75194,                0.56429,                0.60825,                0.42887,                 1.0481,                 2.2595,                 1.3436,                 1.2355,             0.00022507,             0.00022507,             0.00022507
                     41,                0.74085,                 1.3103,                0.62608,                 1.0479,                0.74479,                0.58096,                0.61555,                0.45565,                0.73809,                0.57607,                0.60336,                 0.4284,                 1.0305,                 2.2917,                  1.327,                 1.2198,             0.00020707,             0.00020707,             0.00020707
                     42,                0.72756,                 1.2914,                0.60426,                 1.0333,                0.74591,                0.56839,                 0.6112,                0.45958,                0.74113,                0.57517,                0.60592,                  0.437,                 1.0427,                 2.2757,                 1.3474,                 1.2414,             0.00018907,             0.00018907,             0.00018907
                     43,                0.71874,                 1.2798,                0.59449,                 1.0317,                0.74158,                 0.5723,                0.61389,                0.45635,                0.71836,                0.57685,                0.60584,                0.43062,                 1.0502,                 2.2913,                 1.3244,                 1.2473,             0.00017107,             0.00017107,             0.00017107
                     44,                0.71519,                 1.2883,                0.60074,                 1.0293,                0.73916,                0.57641,                 0.6143,                0.46061,                0.73513,                0.57127,                 0.6084,                0.43215,                 1.0438,                 2.2781,                 1.3322,                 1.2399,             0.00015308,             0.00015308,             0.00015308
                     45,                0.70527,                 1.2556,                0.58352,                 1.0301,                0.71111,                0.57991,                0.61312,                0.46069,                0.71566,                0.57676,                0.60652,                0.43354,                 1.0388,                 2.2747,                 1.3276,                 1.2306,             0.00013508,             0.00013508,             0.00013508
                     46,                0.70226,                  1.257,                 0.5758,                 1.0235,                0.75776,                0.56487,                0.60848,                 0.4619,                0.75544,                0.56194,                0.60754,                0.43454,                 1.0295,                 2.2473,                 1.3338,                  1.235,             0.00011708,             0.00011708,             0.00011708
                     47,                    0.7,                 1.2411,                 0.5738,                 1.0241,                0.75419,                 0.5657,                 0.6124,                0.46006,                0.75792,                 0.5597,                0.60603,                0.43311,                 1.0388,                 2.3057,                 1.3527,                 1.2463,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                 0.6971,                 1.2384,                0.57342,                 1.0177,                0.74825,                0.56742,                0.61599,                 0.4614,                0.74817,                0.56141,                0.60731,                0.43474,                 1.0337,                 2.2951,                 1.3598,                 1.2388,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                0.68944,                 1.2269,                0.56473,                 1.0171,                0.75993,                0.56503,                0.61326,                0.45772,                0.75335,                0.56345,                0.60854,                0.43439,                 1.0355,                 2.3067,                 1.3531,                 1.2456,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                0.69373,                 1.2414,                0.56593,                 1.0144,                0.75688,                0.56715,                0.61382,                0.45912,                0.75358,                0.55798,                0.60431,                0.43383,                 1.0217,                 2.3029,                 1.3464,                 1.2306,             4.5086e-05,             4.5086e-05,             4.5086e-05
